Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00 1342.00 130560.00   708.00  34.54    7.20    97.29    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.67  85.30
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00 1080.00 112576.00   671.00  38.32    2.07   104.24    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.24  21.90
nvme15n1         0.00      0.00     0.00   0.00    0.00     0.00 1082.00 112768.00   671.00  38.28    2.09   104.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.26  21.80
nvme2n1          0.00      0.00     0.00   0.00    0.00     0.00 1341.00 130496.00   708.00  34.55    7.41    97.31    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.94  85.80
nvme3n1          0.00      0.00     0.00   0.00    0.00     0.00 1341.00 130496.00   708.00  34.55    7.33    97.31    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.83  85.70
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00 1079.00 112512.00   671.00  38.34    2.07   104.27    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.23  21.50
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00 1079.00 112512.00   671.00  38.34    2.05   104.27    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.21  21.50
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 1342.00 130560.00   708.00  34.54    7.24    97.29    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.72  85.40
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 8225.00 526400.00     0.00   0.00    4.74    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   38.99 100.00
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00 1276.00 128128.00   721.00  36.10    7.31   100.41    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.33  82.80
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00 1252.00 135168.00   860.00  40.72    1.77   107.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.22  21.80
nvme15n1         0.00      0.00     0.00   0.00    0.00     0.00 1251.00 135168.00   861.00  40.77    1.77   108.05    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.22  22.10
nvme2n1          0.00      0.00     0.00   0.00    0.00     0.00 1274.00 128064.00   722.00  36.17    7.59   100.52    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.67  83.00
nvme3n1          0.00      0.00     0.00   0.00    0.00     0.00 1274.00 128000.00   722.00  36.17    7.41   100.47    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.44  83.00
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00 1252.00 135168.00   860.00  40.72    1.77   107.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.21  21.90
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00 1252.00 135168.00   860.00  40.72    1.77   107.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.22  21.90
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 1276.00 128128.00   721.00  36.10    7.34   100.41    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.37  82.80
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 7685.00 491840.00     0.00   0.00    4.86    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   37.38 100.00
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00 1276.00 128064.00   728.00  36.33    7.26   100.36    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.26  81.00
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00 1105.00 117760.00   735.00  39.95    1.76   106.57    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.94  22.10
nvme15n1         0.00      0.00     0.00   0.00    0.00     0.00 1105.00 117760.00   735.00  39.95    1.75   106.57    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.94  22.20
nvme2n1          0.00      0.00     0.00   0.00    0.00     0.00 1277.00 128128.00   728.00  36.31    7.48   100.34    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.55  81.40
nvme3n1          0.00      0.00     0.00   0.00    0.00     0.00 1277.00 128192.00   728.00  36.31    7.37   100.39    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.41  81.40
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00 1106.00 117760.00   734.00  39.89    1.75   106.47    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.93  22.10
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00 1105.00 117760.00   735.00  39.95    1.75   106.57    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.94  22.10
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 1276.00 128064.00   728.00  36.33    7.30   100.36    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.32  81.00
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 8032.00 514048.00     0.00   0.00    4.79    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   38.47 100.00
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00 1274.00 128192.00   730.00  36.43    7.34   100.62    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.35  81.50
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00 1291.00 129024.00   725.00  35.96    1.69    99.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.19  21.60
nvme15n1         0.00      0.00     0.00   0.00    0.00     0.00 1291.00 129024.00   725.00  35.96    1.70    99.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.19  21.60
nvme2n1          0.00      0.00     0.00   0.00    0.00     0.00 1269.00 128000.00   733.00  36.61    7.41   100.87    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.40  81.60
nvme3n1          0.00      0.00     0.00   0.00    0.00     0.00 1269.00 128000.00   733.00  36.61    7.32   100.87    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.29  81.50
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00 1291.00 129024.00   725.00  35.96    1.69    99.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.19  21.50
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00 1291.00 129024.00   725.00  35.96    1.70    99.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.19  21.50
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 1272.00 128000.00   730.00  36.46    7.26   100.63    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.23  81.50
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 8322.00 532608.00     0.00   0.00    4.63    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   38.52 100.00
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00 1277.00 127872.00   717.00  35.96    7.07   100.13    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.03  79.40
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00 1270.00 138240.00   890.00  41.20    1.78   108.85    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.26  23.50
nvme15n1         0.00      0.00     0.00   0.00    0.00     0.00 1272.00 138240.00   888.00  41.11    1.78   108.68    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.26  23.50
nvme2n1          0.00      0.00     0.00   0.00    0.00     0.00 1276.00 128192.00   722.00  36.14    7.35   100.46    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.37  79.60
nvme3n1          0.00      0.00     0.00   0.00    0.00     0.00 1276.00 128064.00   720.00  36.07    7.22   100.36    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.21  79.70
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00 1269.00 138240.00   891.00  41.25    1.77   108.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.25  23.40
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00 1270.00 138240.00   890.00  41.20    1.78   108.85    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.25  23.40
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 1279.00 128064.00   717.00  35.92    7.16   100.13    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    9.16  79.50
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 7011.00 448704.00     0.00   0.00    5.10    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   35.78 100.00
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00 1448.00 128128.00   549.00  27.49    6.91    88.49    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   10.01  85.40
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00  948.00  96256.00   556.00  36.97    1.70   101.54    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.61  16.40
nvme15n1         0.00      0.00     0.00   0.00    0.00     0.00  948.00  96256.00   556.00  36.97    1.71   101.54    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.62  16.40
nvme2n1          0.00      0.00     0.00   0.00    0.00     0.00 1441.00 128000.00   554.00  27.77    7.07    88.83    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   10.19  85.40
nvme3n1          0.00      0.00     0.00   0.00    0.00     0.00 1447.00 128128.00   550.00  27.54    6.95    88.55    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   10.06  85.40
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00  948.00  96256.00   556.00  36.97    1.71   101.54    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.62  16.50
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00  948.00  96256.00   556.00  36.97    1.71   101.54    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    1.62  16.50
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 1447.00 128128.00   550.00  27.54    6.98    88.55    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   10.09  85.30
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 5507.00 352448.00     0.00   0.00   10.90    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   60.02 100.00
